=== start Baby1 22:38:01 ===
BO QUA >100MB: ['assets/thuy-yen/videos/2022/03/2022-03-25_6.mp4', 'assets/thuy-yen/videos/2022/06/2022-06-25.mp4', 'assets/thuy-yen/videos/2023/05/2023-05-25_1.mp4']
4502 file, 8412 MB, 24 batches
[1/24] OK 666 MB, 3772 file
[2/24] OK 341 MB, 33 file
[3/24] OK 344 MB, 27 file
[4/24] OK 343 MB, 37 file
[5/24] OK 344 MB, 32 file
[6/24] OK 316 MB, 32 file
[7/24] OK 348 MB, 35 file
[8/24] OK 338 MB, 22 file
[9/24] OK 340 MB, 31 file
[10/24] OK 349 MB, 39 file
[11/24] OK 327 MB, 29 file
[12/24] OK 343 MB, 33 file
[13/24] OK 344 MB, 40 file
[14/24] OK 338 MB, 32 file
[15/24] OK 342 MB, 35 file
[16/24] OK 330 MB, 24 file
[17/24] OK 334 MB, 34 file
[18/24] OK 339 MB, 39 file
[19/24] OK 348 MB, 40 file
[20/24] OK 342 MB, 45 file
[21/24] OK 307 MB, 20 file
[22/24] OK 348 MB, 16 file
[23/24] OK 308 MB, 36 file
[24/24] OK 334 MB, 19 file
=== ALL DONE 24/24 ===
